description,specialization,lang
"Вхідні дані: розміри, основні фото надаю, треба буде знайти декілька не вистачаючих фотографій та зробити компоновку",Полиграфический дизайн,uk
Дитяча анімована сцена з сучасними популярними мульт-героями .,3D Анимация,uk
"Необхідно розробити сайт на PHP з можливістю відображення поточної суми на банківському рахунку з онлайн відображенням поповнень. Також повинна бути реєстрація користувачів, додавання коментарів та голосуванням. Важливо: Час виконання 1,5 тижння .",Сайт «под ключ»,uk
Доброго дня. В мене є 128 xml файлів їх потрібно обєднати в один.,Прикладное программирование,uk
"Шукаємо професійних перекладачів з російської на українську мову. Тематика: інструкції з обслуговування сонячних електростанцій. Об’єм: 102 умовні сторінки. Потрібна якісна українська мова з дотриманням усіх мовних правил і норм. Якщо є зацікавленість щодо участі в проекті, будь ласка, звертайтеся. Просимо надсилати резюме з досвідом роботи та Вашими ставками за переклад та редагування перекладу kiev собака wis точка com точка ua . Заздалегідь дякую!",Технический перевод,uk
Потрібно намалювати сайт для рекламної агенції під ключ,Сайт «под ключ»,uk
"Хочу замовити добавляння людей в групу фейсбук.  Для початку кількість людей яких треба добавити 1 000 чоловік.  При позитивному результаті планую замовити добавляння від 10-100к  Геолокація людей, які треба добавити -  тільки Україна.",Контекстная реклама,uk
"Управління довідником міст Створення запису про міста, у яких є вузи  (Київ, Дніпро, Львів, Одеса та інші) Редагування запису про місто, у якому є вуз Перегляд запису Видалення запису Управління довідником напрямків у навчанні Створення напрямку навчання (Економіка, Енергетика, Журналістика та інші) Редагування запису про  напрямок навчання Перегляд запису про напрямок навчання Видалення запису про напрямок навчання Управління довідником вузів Створення запису про вуз (рік заснування, місто  з довіднику міст, статус, акредитація, документ про закінчення, форма навчання, адреса приймальної комісії, адреса вузу, сайт)  Додати інформацію про напрямки навчання Додати інформацію про факультети та спеціальності Редагувати інформацію про вуз Редагувати інформацію про напрямки навчання Видалити інформацію про напрямки навчання Видалити інформацію про факультети та спеціальності Видалити інформацію про вуз Управління фото Додати фото (від 0 до 6) вузу Видалити одне або декілька фото вузу Карта: Відображення вузу на карті  Пошук: За критеріями користувача, наприклад: Вузи, у яких є певна спеціальність Вузи, які здійснюють навчання за певним напрямком Вузи, які є у певних Містах, що здійснюють навчання за певною спеціальністю.",Веб-программирование,uk
Предмет: Стратегічне управління Інноваційним розвитком 1.Виконати практичні ( заповнити всі таблиці) 2.Виконати реферат згідно умов. Тема реферату: 31 Еволюція поглядів на стратегічні партнерства підприємств,Рефераты / Курсовые / Дипломы,uk
"Є креслення готелю, з нього треба зробити два конкретних розрізи по діагоналі і вертикалі.",Интерьеры,uk
